sample	plate	time	infection_status	larvae_only_control	technical_control	name	condition
4672STDY9495783	DN716586V	D3	infected	FALSE	FALSE	72_Inf_15	D3.infected
4672STDY9495784	DN716586V	D3	infected	FALSE	FALSE	72_Inf_16	D3.infected
4672STDY9495785	DN716586V	D3	infected	FALSE	FALSE	72_Inf_17	D3.infected
4672STDY9495786	DN716586V	D3	infected	FALSE	FALSE	72_Inf_18	D3.infected
4672STDY9495787	DN716586V	D3	infected	FALSE	FALSE	72_Inf_19	D3.infected
4672STDY9495788	DN716586V	D3	infected	FALSE	FALSE	72_Inf_20	D3.infected
4672STDY9495789	DN716586V	D3	infected	FALSE	FALSE	72_Inf_21	D3.infected
4672STDY9495790	DN716586V	D3	infected	FALSE	FALSE	72_Inf_22	D3.infected
4672STDY9495791	DN716586V	D3	infected	FALSE	FALSE	72_Inf_23	D3.infected
4672STDY9495792	DN716586V	D3	infected	FALSE	FALSE	72_Inf_24	D3.infected
4672STDY9495793	DN716586V	D3	control	FALSE	FALSE	72_Con_1	D3.control
4672STDY9495794	DN716586V	D3	control	FALSE	FALSE	72_Con_2	D3.control
4672STDY9495795	DN716586V	D3	control	FALSE	FALSE	72_Con_3	D3.control
4672STDY9495796	DN716586V	D3	control	FALSE	FALSE	72_Con_4	D3.control
4672STDY9495797	DN716586V	D3	control	FALSE	FALSE	72_Con_5	D3.control
4672STDY9495798	DN716586V	D3	control	FALSE	FALSE	72_Con_6	D3.control
4672STDY9495799	DN716586V	D3	control	FALSE	FALSE	72_Con_7	D3.control
4672STDY9495800	DN716586V	D3	control	FALSE	FALSE	72_Con_8	D3.control
4672STDY9495801	DN716586V	D3	control	FALSE	FALSE	72_Con_9	D3.control
4672STDY9495802	DN716586V	D3	control	FALSE	FALSE	72_Con_10	D3.control
4672STDY9495803	DN716586V	D3	control	FALSE	FALSE	72_Con_11	D3.control
4672STDY9495804	DN716586V	D3	control	FALSE	FALSE	72_Con_12	D3.control
4672STDY9495805	DN716586V	D3	control	FALSE	FALSE	72_Con_13	D3.control
4672STDY9495806	DN716586V	D3	control	FALSE	FALSE	72_Con_14	D3.control
4672STDY9495807	DN716586V	D3	control	FALSE	FALSE	72_Con_15	D3.control
4672STDY9495808	DN716586V	D3	control	FALSE	FALSE	72_Con_16	D3.control
4672STDY9495809	DN716586V	D3	control	FALSE	FALSE	72_Con_17	D3.control
4672STDY9495810	DN716586V	D3	control	FALSE	FALSE	72_Con_18	D3.control
4672STDY9495811	DN716586V	D3	control	FALSE	FALSE	72_Con_19	D3.control
4672STDY9495812	DN716586V	D3	control	FALSE	FALSE	72_Con_20	D3.control
4672STDY9495813	DN716586V	D3	NA	FALSE	TRUE	Negative_3	Negative.control
4672STDY9495814	DN716586V	D3	NA	FALSE	TRUE	Negative_4	Negative.control
4672STDY9495815	DN716586V	D3	NA	FALSE	TRUE	Negative_5	Negative.control
4672STDY9495816	DN716586V	D3	NA	FALSE	TRUE	Negative_6	Negative.control
4672STDY9495817	DN716587W	D1	infected	FALSE	FALSE	24_Inf_1	D1.infected
4672STDY9495818	DN716587W	D1	infected	FALSE	FALSE	24_Inf_2	D1.infected
4672STDY9495819	DN716587W	D1	infected	FALSE	FALSE	24_Inf_3	D1.infected
4672STDY9495820	DN716587W	D1	infected	FALSE	FALSE	24_Inf_4	D1.infected
4672STDY9495821	DN716587W	D1	infected	FALSE	FALSE	24_Inf_5	D1.infected
4672STDY9495822	DN716587W	D1	infected	FALSE	FALSE	24_Inf_6	D1.infected
4672STDY9495823	DN716587W	D1	infected	FALSE	FALSE	24_Inf_7	D1.infected
4672STDY9495824	DN716587W	D1	infected	FALSE	FALSE	24_Inf_8	D1.infected
4672STDY9495825	DN716587W	D1	infected	FALSE	FALSE	24_Inf_9	D1.infected
4672STDY9495826	DN716587W	D1	infected	FALSE	FALSE	24_Inf_10	D1.infected
4672STDY9495827	DN716587W	D1	infected	FALSE	FALSE	24_Inf_11	D1.infected
4672STDY9495828	DN716587W	D1	infected	FALSE	FALSE	24_Inf_12	D1.infected
4672STDY9495829	DN716587W	D1	infected	FALSE	FALSE	24_Inf_13	D1.infected
4672STDY9495830	DN716587W	D1	infected	FALSE	FALSE	24_Inf_14	D1.infected
4672STDY9495831	DN716587W	D1	infected	FALSE	FALSE	24_Inf_15	D1.infected
4672STDY9495832	DN716587W	D1	infected	FALSE	FALSE	24_Inf_16	D1.infected
4672STDY9495833	DN716587W	D1	infected	FALSE	FALSE	24_Inf_17	D1.infected
4672STDY9495834	DN716587W	D1	infected	FALSE	FALSE	24_Inf_18	D1.infected
4672STDY9495835	DN716587W	D1	infected	FALSE	FALSE	24_Inf_19	D1.infected
4672STDY9495836	DN716587W	D1	infected	FALSE	FALSE	24_Inf_20	D1.infected
4672STDY9495837	DN716587W	D1	NA	TRUE	FALSE	Larvae_only_1	Larvae.only
4672STDY9495838	DN716587W	D1	NA	TRUE	FALSE	Larvae_only_2	Larvae.only
4672STDY9495839	DN716587W	D1	NA	TRUE	FALSE	Larvae_only_3	Larvae.only
4672STDY9495840	DN716587W	D1	NA	TRUE	FALSE	Larvae_only_4	Larvae.only
4672STDY9495841	DN716587W	D1	control	FALSE	FALSE	24_Con_1	D1.control
4672STDY9495842	DN716587W	D1	control	FALSE	FALSE	24_Con_2	D1.control
4672STDY9495843	DN716587W	D1	control	FALSE	FALSE	24_Con_3	D1.control
4672STDY9495844	DN716587W	D1	control	FALSE	FALSE	24_Con_4	D1.control
4672STDY9495845	DN716587W	D1	control	FALSE	FALSE	24_Con_5	D1.control
4672STDY9495846	DN716587W	D1	control	FALSE	FALSE	24_Con_6	D1.control
4672STDY9495847	DN716587W	D1	control	FALSE	FALSE	24_Con_7	D1.control
4672STDY9495848	DN716587W	D1	control	FALSE	FALSE	24_Con_8	D1.control
4672STDY9495849	DN716587W	D1	control	FALSE	FALSE	24_Con_9	D1.control
4672STDY9495850	DN716587W	D1	control	FALSE	FALSE	24_Con_10	D1.control
